日本語,にほんご,nihongo,English,IPA(English),简体中文,pīnyīn,,,,
プリパラ,ぷりぱら,puripara,PriPara/Prism Paradise,ˈprizəm pǽrədàis,美妙天堂/星光乐园,měimiàotiāntáng/xīngguānglèyuán,,,,
アイドルタイムプリパラ,あいどるたいむぷりぱら,aidorutaimupuripara,Idol time Pripara,áidl táim pripǽrə,美妙天堂 偶像时间,měimiàotiāntáng ǒuxiàngshíjiān,,,,
キラッと☆プリチャン,きらっと☆ぷりちゃん,kiratto purichan,Kiratto Pri☆Chan,,美妙频道,měimiàopíndào,,,,,
登場人物,とうじょうじんぶつ,toujou jinbutsu,Characters,ˈkerəktərz,角色,juésè,,,,
真中らぁら,まなからあら,manakarāra,Laala Manaka,,真中拉拉,zhēnzhōnglālā,,,,
南みれぃ,みなみみれい,minamimirei,Mirei Minami,,南米蕾,nánmǐlěi,,,,
北条そふぃ,ほうじょうそふぃ,hōjōsofi,Sophie Hojo,,北条索菲,běitiáosuǒfēi,,,,
ファルル,ふぁるる,Faruru,Faruru,,法露露,fǎlùlù,,,,
東堂シオン,とうどうしおん,tōdōshion,Shion Todo,,东堂诗音,dōngtángshīyīn,,,,
ドロシー・ウェスト,どろしー うぇすと,doroshī wesuto,Dorothy West,,桃乐丝威斯特,táolèsīwēisīté,,,,
レオナ・ウェスト,れおな うぇすと,reona wesuto,Leona West,,莉安娜威斯特,lì'ānnàwēisīté,,,,
白玉みかん,しらたまみかん,shiratamamikan,Mikan Shiratama,,白玉蜜柑,báiyùmìgān,,,,
黒須あろま,くろすあろま,kurosuaroma,Aroma Kurosu,,黑须茱香,hēixūzhūxiāng,,,,
ガァルル,がるる,garuru,Gaaruru,,卡露露,kǎlùlù,,,,
紫京院ひびき,しきょういんひびき,shikyōinhibiki,Hibiki Shikyoin,,紫京院响,zǐjīngyuànxiǎng,,,,
緑風ふわり,みどりかぜふわり,midorikazefuwari,Fuwari Midorikaze,,绿风芙羽梨,lǜfēngfúyǔlí,,,,
真中のん,まなかのん,manakanon,Non Manaka,,真中音,zhēnzhōngyīn,,,,
月川ちり,つきかわちり,tsukikawachiri,Chiri Tsukikawa,,月川知里,,,,,
太陽ペッパー,たいようぺっぱー,taiyoupeppā,Pepper taiyo,,太阳佩帕,tàiyángpèipà,,,,
かのん,かのん,kanon,Kanon,,花音,huāyīn,,,,
ぴのん,ぴのん,pinon,Pinon,,皮音,píyīn,,,,
じゅのん,じゅのん,junon,Junon,,珠音,zhūyīn,,,,
黄木あじみ,ききあじみ,kikiajimi,Ajimi Kiki,,黄木娅记美,huángmùyàjìměi,,,,
ジュルル,じゅるる,jururu,Jururu,,朱露露,zhūlùlù,,,,
ジュリィ,じゅりい,jurī,Jewlie,,朱莉,zhūlì,,,,
ジャニス,じゃにす,janisu,Janice,,珍妮丝,zhēnnísī,,,,
北条コスモ,ほうじょうこすも,hōjōkosumo,Cosmo Hojo,,北条宇,běitiáoyǔ,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

